Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
T. Jänicke,Germany,31,64,64,"



1. FC Saarbrücken","RM, CM",RM,€475K,2000,€580K,1691,0.032
S. Bueno,Uruguay,21,64,77,"



Girona FC","CB, LB",CB,€1.4M,2000,€1.8M,1356,0.032
J. Tamimi,Jordan,25,64,69,"



Mjällby AIF","RWB, RM",RWB,€800K,850,€696K,1658,0.07529411764705882
R. Stewart,Scotland,23,64,71,"



Ross County FC","ST, LM",ST,€1.2M,2000,€1.3M,1533,0.032
L. Bolton,England,20,64,78,"



Dundee United","RB, RM",RM,€1.3M,1000,€2.2M,1701,0.064
D. Duarte,Netherlands,20,64,71,"



Sparta Rotterdam","CM, CAM",CAM,€1.2M,2000,€1M,1810,0.032
K. Ceesay,Gambia,32,64,64,"



Helsingborgs IF",CB,CB,€375K,1000,€0,1767,0.064
Mingotes,Spain,24,64,71,"



Valencia CF","RB, CB",CB,€1.1M,2000,€0,1582,0.032
Leonardo Freijão,Brazil,24,64,64,"



Ceará Sporting Club","CDM, CM, CAM",CB,€600K,3000,€855K,1577,0.021333333333333333
R. Strain,Australia,23,64,68,"



Adelaide United",RB,RWB,€775K,1000,€696K,1699,0.064
S. Maierhofer,Austria,37,64,64,"



FC Admira Wacker Mödling",ST,ST,€200K,2000,€232K,1542,0.032
J. Antiste,France,17,64,81,"



Toulouse Football Club",ST,ST,€1.5M,500,€2.2M,1469,0.128
Fali Candé,Portugal,22,64,73,"



Portimonense SC",LB,LB,€1.3M,2000,€1.4M,1661,0.032
N. Mbemba,France,25,64,69,"



Le Havre AC","CM, CDM, RB",CAM,€850K,2000,€1.1M,1773,0.032
T. Kanai,Japan,30,64,64,"



Shimizu S-Pulse","LB, RB, CB",LB,€500K,1000,€438K,1677,0.064
J. Pigott,England,26,64,66,"



AFC Wimbledon",ST,ST,€725K,2000,€1M,1590,0.032
J. Bachmann,Germany,24,64,69,"



1. FC Kaiserslautern","CDM, CM, CB",CB,€800K,1000,€839K,1603,0.064
P. Sohm,Germany,28,64,64,"



SG Dynamo Dresden","ST, RM, LM",RM,€600K,3000,€689K,1630,0.021333333333333333
B. Figueroa,Mexico,21,64,74,"



U.N.A.M.",LM,RM,€1.3M,2000,€1.4M,1510,0.032
L. Lukacevic,Austria,21,64,72,"



FC Admira Wacker Mödling","LB, LWB",LB,€1.3M,2000,€990K,1553,0.032
T. Königsmann,Germany,23,64,71,"



SV Waldhof Mannheim",GK,GK,€1M,700,€784K,1157,0.09142857142857143
T. Tomić,Bosnia Herzegovina,29,64,64,"



FC Admira Wacker Mödling","CM, CDM",CDM,€575K,3000,€616K,1764,0.021333333333333333
E. Redín,Uruguay,25,64,67,"



Club Plaza Colonia","RB, CM",RWB,€725K,500,€1.1M,1700,0.128
D. Chambost,France,22,64,72,"



ESTAC Troyes","CM, LM",CAM,€1.3M,2000,€1.3M,1721,0.032
Andre Shinyashiki,Brazil,23,64,73,"



Colorado Rapids","LM, ST, CAM",ST,€1.3M,2000,€1.2M,1616,0.032
Y. Minami,Japan,40,64,64,"



Yokohama FC",GK,GK,€60K,550,€56K,1029,0.11636363636363636
S. Al Qumayzi,Saudi Arabia,28,64,64,"



Ettifaq FC",RB,RB,€525K,7000,€619K,1643,0.009142857142857144
A. Georgen,France,21,64,75,"



AJ Auxerre",RB,RB,€1.3M,1000,€1.4M,1649,0.064
G. Raspadori,Italy,20,64,79,"



Sassuolo",ST,ST,€1.4M,6000,€2.3M,1500,0.010666666666666666
A. Isaiah,Nigeria,24,64,69,"



Gil Vicente FC",CM,CAM,€875K,2000,€1.3M,1665,0.032
J. Guttau,Germany,20,64,77,"



Hallescher FC","LM, CM, CAM",CAM,€1.4M,1000,€1.8M,1621,0.064
D. Wheater,England,33,64,64,"



Oldham Athletic",CB,CB,€275K,3000,€368K,1407,0.021333333333333333
T. Tessmann,United States,18,64,79,"



FC Dallas","CM, CDM",CAM,€1.4M,700,€2M,1642,0.09142857142857143
P. Šafranko,Slovakia,25,64,67,"



Sepsi OSK",ST,ST,€775K,3000,€819K,1669,0.021333333333333333
M. Ofkir,Norway,23,64,70,"



Sarpsborg 08 FF","LM, RM",RM,€925K,1000,€906K,1557,0.064
K. Anderson,England,25,64,65,"



Blackpool","CAM, LM",ST,€700K,3000,€958K,1595,0.021333333333333333
G. Francomb,England,28,64,64,"



Crawley Town","RB, CB",RB,€525K,3000,€656K,1732,0.021333333333333333
A. Sy,Senegal,31,64,64,"



Al Adalah",CB,CB,€400K,5000,€536K,1343,0.0128
A. Al Zaqan,Saudi Arabia,29,64,64,"



Al Fateh",RM,RM,€575K,7000,€743K,1612,0.009142857142857144
Y. Hakamata,Japan,24,64,68,"



Yokohama FC","LB, CB, LM",LB,€775K,1000,€696K,1626,0.064
K. Wilson,England,20,64,73,"



Forest Green Rovers","RB, RWB",RB,€1.2M,3000,€1.2M,1645,0.021333333333333333
N. Law,England,32,64,64,"



Exeter City","CAM, LM",RM,€475K,3000,€613K,1793,0.021333333333333333
A. Prepeliță,Romania,34,64,64,"



FC Argeș","CM, CDM",CDM,€275K,2000,€297K,1818,0.032
S. Clare,England,23,64,71,"



Oxford United","RB, RM, CM",ST,€1.1M,2000,€1.1M,1779,0.032
J. Kitolano,Norway,18,64,77,"



Odds BK",CM,RM,€1.4M,500,€1.5M,1762,0.128
G. Acampora,Italy,26,64,67,"



Spezia","CM, CDM",CM,€750K,5000,€1.3M,1769,0.0128
P. Ziegler,Germany,30,64,64,"



Western Sydney Wanderers","CB, CDM",CB,€475K,2000,€469K,1557,0.032
L. Stojanović,Serbia,26,64,65,"



Chicago Fire",CAM,ST,€700K,2000,€827K,1725,0.032
Borja Domínguez,Spain,28,64,64,"



CD Lugo","CM, CDM",CM,€575K,2000,€698K,1695,0.032
J. Castro,Mexico,28,64,64,"



Atlético de San Luis","LM, CAM",LM,€600K,4000,€765K,1679,0.016
P. Steinwender,Germany,23,64,70,"



VfB Lübeck","RM, CAM",ST,€925K,4000,€0,1609,0.016
S. MacDonald,Wales,32,64,64,"



Rotherham United","CDM, CM",CDM,€400K,9000,€555K,1724,0.0071111111111111115
C. Bozdogan,Germany,19,64,81,"



FC Schalke 04","CAM, LM, CM",CAM,€1.5M,3000,€2.3M,1731,0.021333333333333333
S. Raggett,England,26,64,69,"



Portsmouth",CB,CB,€775K,3000,€958K,1370,0.021333333333333333
Álex Martín,Spain,22,64,76,"



FC Cartagena",CB,CB,€1.4M,2000,€1.3M,1481,0.032
C. Gönen,Turkey,32,64,64,"



Denizlispor",GK,GK,€300K,4000,€550K,1119,0.016
K. Nakayama,Japan,23,64,69,"



Yokohama FC",RM,CAM,€875K,1000,€795K,1639,0.064
A. Răuță,Romania,28,64,65,"



Dinamo Bucureşti",CDM,CB,€575K,2000,€641K,1514,0.032
P. Wimmer,Austria,19,64,78,"



FK Austria Wien","RM, LM",RM,€1.4M,3000,€2M,1687,0.021333333333333333
T. Hamasaki,Japan,27,64,66,"



Vegalta Sendai","CDM, CM, RB",CDM,€625K,1000,€629K,1655,0.064
T. Seko,Japan,22,64,70,"



Yokohama FC",CDM,CDM,€875K,1000,€834K,1594,0.064
E. Johansen,Norway,27,64,66,"



Kristiansund BK",GK,GK,€525K,1000,€0,1050,0.064
F. Bejan,Romania,29,64,64,"



Dinamo Bucureşti",CB,CB,€500K,2000,€506K,1393,0.032
K. Agard,England,30,64,64,"



Milton Keynes Dons",ST,ST,€575K,3000,€744K,1733,0.021333333333333333
J. Martinez,Peru,20,64,73,"



Sport Huancayo","RB, RM",RWB,€1.2M,500,€1.5M,1716,0.128
R. Quiñonez,Bolivia,28,64,66,"



Oriente Petrolero",GK,GK,€500K,500,€890K,1122,0.128
M. Moro,Ghana,25,64,67,"



Mjällby AIF","ST, RM",ST,€775K,1000,€762K,1625,0.064
P. McMullan,Scotland,24,64,68,"



Dundee United",RM,RM,€850K,2000,€1.1M,1520,0.032
C. Hazard,Northern Ireland,22,64,72,"



Celtic",GK,GK,€1.1M,7000,€1M,933,0.009142857142857144
F. Daniliuc,Austria,19,64,79,"



OGC Nice",CB,CB,€1.3M,4000,€2.3M,1530,0.016
M. Gardawski,Germany,29,64,64,"



Cracovia","LB, RB",LB,€525K,2000,€506K,1730,0.032
C. Borthwick-Jackson,England,23,64,70,"



Oldham Athletic",LB,LWB,€875K,3000,€1.1M,1678,0.021333333333333333
L. Bessilé,France,21,64,73,"



FC Girondins de Bordeaux","CB, LB",CB,€1.2M,5000,€1.4M,1559,0.0128
M. Halsti,Finland,36,64,64,"



HJK Helsinki",CB,CB,€100K,500,€194K,1603,0.128
S. Tanser,England,25,64,68,"



St. Johnstone FC","LB, LWB",LWB,€750K,2000,€913K,1722,0.032
K. Saito,Japan,18,64,78,"



Yokohama FC","ST, CF, LW",CAM,€1.4M,550,€1.8M,1684,0.11636363636363636
N. Olsak,Argentina,28,64,65,"



RKC Waalwijk","CDM, CM",CDM,€575K,2000,€686K,1621,0.032
L. Page,England,24,64,69,"



Exeter City","LB, LWB",LB,€825K,3000,€958K,1595,0.021333333333333333
B. Koglin,Germany,23,64,70,"



1. FC Magdeburg",CB,CB,€850K,1000,€908K,1427,0.064
K. Kunz,Germany,28,64,66,"



SSV Jahn Regensburg",GK,GK,€500K,3000,€650K,936,0.021333333333333333
B. Moussiti-Oko,Congo,25,64,68,"



AC Ajaccio",ST,ST,€825K,2000,€1.1M,1461,0.032
K. Danielak,Poland,28,64,64,"



Podbeskidzie Bielsko-Biała","RM, LM",RM,€600K,1000,€608K,1644,0.064
O. Mandanda,DR Congo,21,64,76,"



FC Girondins de Bordeaux",GK,GK,€1.3M,3000,€1.4M,935,0.021333333333333333
H. Akujobi,Nigeria,20,64,72,"



SC Heerenveen","CDM, CM",CDM,€1.2M,2000,€1M,1666,0.032
M. Bułka,Poland,20,64,77,"



FC Cartagena",GK,GK,€1.2M,7000,€0,961,0.009142857142857144
A. Fuentes,Peru,21,64,69,"



Sport Huancayo",RB,CB,€850K,500,€1.2M,1666,0.128
I. Cartés,Uruguay,22,64,72,"



Club Plaza Colonia",GK,GK,€1.1M,500,€1.2M,1055,0.128
A. Cantero,Argentina,22,64,69,"



Godoy Cruz",ST,ST,€900K,3000,€953K,1540,0.021333333333333333
C. Tănase,Romania,33,64,64,"



Academica Clinceni","CAM, RM, LM",CAM,€375K,2000,€371K,1733,0.032
I. Zurita,Mexico,28,64,64,"



Querétaro","LB, RB, RM",LB,€525K,3000,€619K,1735,0.021333333333333333
M. Ambrose,United States,26,64,65,"



Inter Miami","LB, RB",LB,€625K,2000,€709K,1610,0.032
G. Tormin,France,22,64,72,"



La Berrichonne de Châteauroux","RM, ST",LM,€1.3M,1000,€1.3M,1658,0.064
L. Wolsztyński,Poland,25,64,66,"



Górnik Zabrze","CF, CAM, ST",CAM,€750K,2000,€784K,1683,0.032
L. Ríos,Argentina,22,64,71,"



Unión de Santa Fe",LM,RM,€1.2M,3000,€1.1M,1572,0.021333333333333333
L. Bell Bell,Cameroon,23,64,71,"



1. FC Magdeburg","LB, LM",LM,€1.1M,1000,€949K,1783,0.064
R. Cueto,Bolivia,21,64,70,"



Club Blooming",RB,RWB,€875K,500,€1.3M,1546,0.128
R. Morishita,Japan,23,64,69,"



Sagan Tosu",RB,RB,€825K,1000,€696K,1750,0.064
F. Madrigal,Mexico,28,64,64,"



Querétaro",CM,CM,€575K,3000,€743K,1815,0.021333333333333333
Flávio Triginho,Brazil,24,64,64,"



Botafogo",ST,CF,€675K,5000,€950K,1610,0.0128
D. Payne,United States,24,64,69,"



FC Emmen","RB, LB",RB,€825K,2000,€801K,1597,0.032
R. Figiel,Poland,29,64,64,"



Podbeskidzie Bielsko-Biała","CM, CDM",CM,€575K,1000,€574K,1673,0.064
L. Sercombe,England,30,64,64,"



Cheltenham Town","CM, LM",CM,€550K,3000,€744K,1786,0.021333333333333333
M. Forss,Finland,21,64,75,"



Brentford",ST,ST,€1.3M,8000,€1.6M,1525,0.008
M. García,Argentina,28,64,64,"



Gimnasia y Esgrima La Plata",LM,LM,€600K,4000,€653K,1581,0.016
N. Dibble,Uruguay,26,64,65,"



Club Plaza Colonia","RW, CF",RW,€700K,500,€1.2M,1625,0.128
J. Phojo,France,27,64,65,"



Clermont Foot 63",RB,RB,€625K,2000,€821K,1589,0.032
D. Andrade,Mexico,26,64,65,"



Santos Laguna","LB, LWB",LB,€625K,5000,€799K,1681,0.0128
J. Alvez,Uruguay,36,64,64,"



Centro Atlético Fénix","RB, CB, LB",RB,€130K,500,€172K,1541,0.128
N. Holland,England,22,64,75,"



West Ham United","LW, LM",LW,€1.3M,8000,€1.6M,1516,0.008
J. Scherzer,Austria,24,64,67,"



Wolfsberger AC","LB, LWB, LM",CB,€750K,3000,€763K,1608,0.021333333333333333
O. Norburn,Grenada,27,64,65,"



Shrewsbury",CM,RM,€675K,3000,€913K,1836,0.021333333333333333
N. Contini,Ukraine,24,64,72,"



Napoli",GK,GK,€1.1M,7000,€950K,1078,0.009142857142857144
R. Gelmi,Switzerland,25,64,69,"



VVV-Venlo","CB, CDM",CB,€775K,2000,€801K,1619,0.032
S. Wharton,England,22,64,74,"



Blackburn Rovers","CB, LB",CB,€1.2M,8000,€1.4M,1451,0.008
Kim Jung Min,Korea Republic,20,64,75,"



Vitória Guimarães","CAM, CM, RW",CAM,€1.3M,2000,€1.8M,1725,0.032
N. Ferraresi,Venezuela,21,64,73,"



Moreirense FC","CB, RB",CB,€1.2M,2000,€1.5M,1385,0.032
C. Schorch,Germany,31,64,64,"



1. FC Saarbrücken",CB,CB,€400K,1000,€471K,1493,0.064
D. Gabriele,Germany,25,64,68,"



Türkgücü München","CAM, CF, ST",RM,€825K,1000,€877K,1655,0.064
T. Parkes,England,28,64,64,"



Exeter City",CB,CB,€500K,3000,€700K,1501,0.021333333333333333
Park Dae Won,Korea Republic,22,64,75,"



Suwon Samsung Bluewings",RB,RB,€1.3M,1000,€1M,1696,0.064
A. Vetrih,Slovenia,29,64,64,"



Gazişehir Gaziantep F.K.","CM, CDM",CM,€575K,4000,€850K,1757,0.016
B. Halliday,England,24,64,67,"



Doncaster Rovers",RB,RWB,€750K,2000,€913K,1668,0.032
L. Mai,Germany,20,64,79,"



SV Darmstadt 98",CB,CB,€1.3M,1000,€0,1403,0.064
M. Milligan,Australia,34,64,64,"



Macarthur FC","CDM, CM",CDM,€200K,800,€213K,1748,0.08
F. Doucouré,Mali,19,64,78,"



Stade de Reims",RB,RB,€1.3M,3000,€2.4M,1603,0.021333333333333333
H. Pellerano,Argentina,36,64,64,"



Melgar FBC",CB,CB,€100K,500,€194K,1521,0.128
J. Kamata,Japan,34,64,64,"



Kashiwa Reysol",CB,CB,€190K,3000,€213K,1353,0.021333333333333333
R. Fernández,Uruguay,22,64,74,"



Centro Atlético Fénix","CM, CDM",CAM,€1.3M,500,€1.7M,1726,0.128
Aimar Oroz,Spain,18,64,79,"



CA Osasuna","CAM, CM",CAM,€1.4M,2000,€2.5M,1721,0.032
S. Pavlović,Serbia,19,64,82,"



AS Monaco",CB,CB,€1.4M,5000,€2.3M,1425,0.0128
F. Cristaldo,Argentina,23,64,70,"



Club Atlético Huracán","LM, RM, CM",CAM,€925K,4000,€1M,1805,0.016
J. Furdal,Norway,34,64,64,"



Viking FK",CM,CAM,€275K,1000,€275K,1715,0.064
J. Vojtuš,Slovakia,26,64,66,"



CFR Cluj",ST,ST,€725K,4000,€811K,1576,0.016
K. Koindredi,France,18,64,80,"



Valencia CF",CM,CAM,€1.5M,2000,€2.5M,1733,0.032
J. Palacios,Argentina,21,64,78,"



San Lorenzo de Almagro",RM,RM,€1.4M,4000,€2.1M,1715,0.016
A. Racioppi,Switzerland,21,64,78,"



Dijon FCO",GK,GK,€1.3M,2000,€2.2M,913,0.032
A. Contreras,Venezuela,19,64,73,"



Caracas FC","CAM, CM",CAM,€1.3M,500,€1.6M,1705,0.128
T. Björkström,Sweden,29,64,65,"



IK Sirius","CB, RB",CB,€550K,1000,€563K,1619,0.064
A. Ocejo,Mexico,22,64,70,"



Santos Laguna",LM,CAM,€950K,5000,€1.2M,1596,0.0128
L. Badé,France,20,64,78,"



Racing Club de Lens",CB,CB,€1.3M,6000,€2.4M,1413,0.010666666666666666
J. Gibbons,England,22,64,73,"



Port Vale",RB,RWB,€1.3M,3000,€1.2M,1653,0.021333333333333333
E. Hamilton,Scotland,21,64,77,"



Peterborough United","CM, CDM",ST,€1.4M,2000,€2M,1777,0.032
F. Torres,Chile,31,64,64,"



Audax Italiano",CB,CB,€400K,2000,€439K,1426,0.032
I. Boonen,Belgium,21,64,72,"



KV Oostende","CAM, RW, ST",CAM,€1.3M,2000,€1.1M,1661,0.032
M. Ortega,Mexico,25,64,70,"



Tigres U.A.N.L.",GK,GK,€725K,7000,€810K,985,0.009142857142857144
T. Nowak,Poland,34,64,64,"



Podbeskidzie Bielsko-Biała",CAM,CAM,€275K,1000,€311K,1750,0.064
G. Hirst,England,21,64,74,"



Rotherham United",ST,ST,€1.3M,13000,€0,1482,0.004923076923076923
B. Kramer,Slovenia,24,64,71,"



FC Zürich",ST,ST,€1.2M,4000,€1.1M,1545,0.016
J. Young,Argentina,22,64,67,"



Centro Atlético Fénix",GK,GK,€650K,500,€946K,1122,0.128
S. O'Neill,United States,26,64,67,"



Seattle Sounders FC",CB,CB,€675K,2000,€788K,1656,0.032
J. Bava,Uruguay,38,64,64,"



Club Guaraní",GK,GK,€60K,500,€97K,1112,0.128
F. Carlsen,Norway,30,64,64,"



Aalesunds FK","CDM, CM",CDM,€500K,1000,€469K,1717,0.064
Leandro Silva,Brazil,21,64,74,"



Rio Ave FC","LW, RW",CAM,€1.3M,2000,€1.7M,1573,0.032
J. van der Werff,Switzerland,21,64,77,"



FC Basel 1893",CB,CB,€1.4M,4000,€0,1472,0.016
A. Askar,Ethiopia,34,64,64,"



Kristiansund BK","RB, ST, LM",RB,€210K,1000,€200K,1801,0.064
S. Kavanagh,Republic of Ireland,26,64,67,"



Shamrock Rovers","LB, LM",CAM,€700K,900,€813K,1740,0.07111111111111111
T. Çetin,Turkey,23,64,70,"



Çaykur Rizespor",GK,GK,€750K,2000,€1M,874,0.032
K. Ono,Japan,30,64,64,"



Shonan Bellmare",CB,CB,€475K,1000,€469K,1393,0.064
D. Scarr,England,25,64,68,"



Walsall",CB,CB,€725K,4000,€958K,1519,0.016
E. Hoffer,Austria,33,64,64,"



FC Admira Wacker Mödling","ST, LM, CAM",RW,€375K,3000,€399K,1636,0.021333333333333333
W. Geubbels,France,18,64,78,"



AS Monaco",ST,ST,€1.4M,5000,€2.4M,1570,0.0128
M. Jansen,Germany,27,64,66,"



MSV Duisburg","CDM, CM",CDM,€625K,900,€724K,1667,0.07111111111111111
Iuliano Alfaro,Brazil,32,64,64,"



Bahia","ST, LM, CAM",ST,€475K,4000,€665K,1647,0.016
H. Delcroix,Belgium,21,64,73,"



RSC Anderlecht",CB,CDM,€1.2M,3000,€1.1M,1510,0.021333333333333333
T. Elliott,England,29,64,64,"



Salford City",ST,ST,€575K,6000,€788K,1637,0.010666666666666666
C. Matsima,France,18,64,79,"



AS Monaco",CB,CB,€1.3M,3000,€2.2M,1406,0.021333333333333333
N. Çiftçi,Turkey,28,64,64,"



Çaykur Rizespor","ST, RW",ST,€600K,4000,€950K,1712,0.016
A. Guido,United States,26,64,67,"



Los Angeles FC",CM,CAM,€750K,2000,€866K,1727,0.032
R. Ramallo,Bolivia,29,64,64,"



Always Ready",ST,ST,€575K,500,€968K,1558,0.128
V. Boniface,Nigeria,19,64,77,"



FK Bodø/Glimt",ST,ST,€1.4M,950,€1.6M,1599,0.06736842105263158
Jo Sung Jin,Korea Republic,29,64,65,"



Suwon Samsung Bluewings",CB,CB,€550K,1000,€563K,1492,0.064
A. Solano,Colombia,22,64,74,"



FC Barcelona",RB,RB,€1.3M,8000,€0,1551,0.008
L. Röser,Germany,26,64,67,"



1. FC Kaiserslautern","ST, RM",ST,€775K,2000,€877K,1629,0.032
T. van de Looi,Netherlands,20,64,72,"



Brescia","CDM, CM",CM,€1.2M,5000,€1.3M,1659,0.0128
Raúl García,Spain,19,64,80,"



Real Betis",ST,ST,€1.5M,3000,€2.7M,1462,0.021333333333333333
Ugarte,Spain,25,64,71,"



Real Oviedo",CB,CB,€1.1M,2000,€1M,1396,0.032
J. Delem,France,27,64,67,"



Seattle Sounders FC","CDM, RB",RWB,€675K,2000,€788K,1710,0.032
L. Grace,Republic of Ireland,27,64,67,"



Shamrock Rovers",CB,CB,€675K,900,€813K,1386,0.07111111111111111
M. Greve,Denmark,30,64,64,"



Vejle Boldklub",CB,CB,€475K,3000,€469K,1367,0.021333333333333333
P. Ba,Senegal,27,64,65,"



Chamois Niortais Football Club",ST,ST,€675K,2000,€958K,1545,0.032
K. Mensah,Denmark,29,64,64,"



Brøndby IF","RWB, LWB",RWB,€525K,5000,€469K,1818,0.0128
O. Çelik,Turkey,28,64,65,"



BB Erzurumspor","CDM, CB",CB,€575K,3000,€911K,1654,0.021333333333333333
O. Lund,Denmark,29,64,64,"



Odense Boldklub","CB, LB, RB",CB,€500K,3000,€469K,1651,0.021333333333333333
S. Sprangler,Austria,25,64,69,"



Wolfsberger AC","CDM, CM",CDM,€775K,4000,€839K,1672,0.016
J. Pereyra,Argentina,21,64,74,"



Famalicão","CDM, CAM, LM",CM,€1.2M,3000,€0,1733,0.021333333333333333
A. Sušac,Croatia,31,64,64,"



VfL Osnabrück",CB,CB,€400K,3000,€504K,1388,0.021333333333333333
M. Starke,Namibia,29,64,64,"



FSV Zwickau","CAM, ST, CM",LM,€575K,750,€653K,1750,0.08533333333333333
R. Norrington-Davies,Wales,21,64,74,"



Luton Town",LB,LB,€1.3M,5000,€0,1623,0.0128
R. Opruț,Romania,22,64,73,"



FC Hermannstadt",LB,LB,€1.3M,2000,€969K,1496,0.032
J. Cooper,Northern Ireland,24,64,69,"



Oxford United",LM,RM,€875K,2000,€1.1M,1605,0.032
L. Jensen,Denmark,25,64,65,"



Vejle Boldklub",RM,RM,€700K,3000,€696K,1553,0.021333333333333333
S. Brown,England,35,64,64,"



Port Vale",GK,GK,€60K,2000,€210K,1117,0.032
K. Kushibiki,Japan,27,64,66,"



Sanfrecce Hiroshima","CB, LB",CB,€625K,3000,€629K,1442,0.021333333333333333
J. Mitchell,England,25,64,70,"



Northampton Town",GK,GK,€725K,5000,€0,1270,0.0128
C. Washington,Northern Ireland,28,64,64,"



Charlton Athletic",ST,ST,€600K,3000,€831K,1691,0.021333333333333333
Hui Jiakang,China PR,31,64,64,"



Tianjin TEDA FC","LW, LM",LW,€475K,4000,€620K,1708,0.016
F. Evina,Cameroon,19,64,79,"



Hannover 96","LM, ST, LW",ST,€1.4M,3000,€2.2M,1671,0.021333333333333333
Z. Westbrooke,England,23,64,72,"



Bristol Rovers",CM,CM,€1.3M,2000,€1.3M,1775,0.032
H. Abou Demba,Mauritania,28,64,64,"



Grenoble Foot 38",RB,RB,€525K,2000,€656K,1669,0.032
F. Brustad,Norway,31,64,64,"



Mjøndalen IF","ST, RM",ST,€500K,1000,€500K,1631,0.064
Gorka Pérez,Spain,24,64,71,"



UD Logroñés","CB, CDM",CB,€1.1M,2000,€1M,1610,0.032
J. Kempin,United States,27,64,65,"



Columbus Crew SC",GK,GK,€500K,2000,€591K,1107,0.032
Madi,Portugal,21,64,79,"



Farense",LM,RM,€1.4M,1000,€2.7M,1526,0.064
C. Straton,Romania,30,64,64,"



FCSB (Steaua)",GK,GK,€400K,3000,€420K,992,0.021333333333333333
A. Adam,Saudi Arabia,25,64,69,"



Al Nassr",ST,ST,€875K,9000,€1.1M,1553,0.0071111111111111115
Y. Fekir,France,23,64,73,"



Real Betis","LW, RW, CAM",RM,€1.3M,5000,€1.6M,1622,0.0128
Raphael Doninho,Brazil,20,64,64,"



Grêmio",CAM,RW,€650K,5000,€950K,1754,0.0128
D. McGowan,Australia,28,64,64,"



Western Sydney Wanderers",CB,CB,€500K,2000,€500K,1582,0.032
G. Evans,England,32,64,64,"



Bradford City","CAM, LM",ST,€475K,5000,€613K,1864,0.0128
H. McGahey,England,24,64,68,"



Scunthorpe United",CB,CB,€750K,4000,€958K,1502,0.016
P. Gladon,Netherlands,28,64,64,"



Willem II",ST,ST,€600K,3000,€713K,1572,0.021333333333333333
R. Montero,Bolivia,29,64,64,"



Jorge Wilstermann",CB,CB,€500K,500,€806K,1336,0.128
J. Al-Hazaimeh,Germany,28,64,64,"



SV Meppen","LB, LM",LB,€525K,800,€544K,1563,0.08
F. Gerometta,Argentina,20,64,77,"



Unión de Santa Fe",RB,RWB,€1.3M,2000,€1.7M,1675,0.032
G. Traoré,France,20,64,74,"



Amiens SC","CDM, CM",CDM,€1.2M,1000,€1.4M,1580,0.064
Afonso Sousa,Portugal,20,64,74,"



Os Belenenses","LM, CAM",RM,€1.3M,1000,€1.6M,1557,0.064
Reguero,Spain,37,64,64,"



HJK Helsinki",GK,GK,€60K,500,€97K,1098,0.128
L. Escalada,Argentina,33,64,64,"



SD Aucas","CF, ST",CF,€375K,500,€591K,1698,0.128
M. Feigenspan,Germany,24,64,67,"



KFC Uerdingen 05","LM, RM",ST,€800K,2000,€877K,1615,0.032
J. Keohane,Republic of Ireland,29,64,64,"



Rochdale","RB, LB",RB,€525K,2000,€656K,1736,0.032
S. Ibeagha,United States,28,64,65,"



New York City FC",CB,CB,€550K,2000,€709K,1395,0.032
A. Kadlec,Slovakia,24,64,70,"



Jagiellonia Białystok",RB,RB,€875K,2000,€853K,1590,0.032
Q. Jansen,Netherlands,29,64,64,"



Mjøndalen IF",CB,CB,€500K,1000,€469K,1484,0.064
R. Riski,Finland,28,64,64,"



HJK Helsinki",ST,ST,€600K,500,€1M,1731,0.128
S. Al Jaman,Saudi Arabia,26,64,65,"



Abha Club","LM, CAM, RM",LM,€700K,3000,€906K,1592,0.021333333333333333
M. Fayez,United Arab Emirates,30,64,64,"



Al Ain FC","CB, LB",CB,€475K,500,€806K,1626,0.128
R. Faivre,France,21,64,73,"



Stade Brestois 29","CM, LM",CM,€1.3M,3000,€1.5M,1713,0.021333333333333333
Jean Carlos,Brazil,24,64,71,"



Wisła Kraków","CM, CDM",RM,€1.2M,1000,€969K,1672,0.064
F. Berenguer,France,31,64,64,"



Melbourne City FC","CM, LM",CAM,€475K,3000,€469K,1790,0.021333333333333333
S. Conneely,Republic of Ireland,31,64,64,"



Accrington Stanley","CDM, CM",CDM,€400K,1000,€613K,1703,0.064
S. Dieckmann,Germany,24,64,67,"



SV Sandhausen",LB,LB,€750K,2000,€838K,1527,0.032
J. Grot,Netherlands,22,64,71,"



Leeds United","LW, ST, RW",ST,€1.2M,18000,€1.4M,1763,0.0035555555555555557
D. Connolly,Republic of Ireland,25,64,65,"



St. Mirren","RM, LM, ST",RM,€700K,2000,€958K,1630,0.032
T. Zárate,Argentina,19,64,76,"



Famalicão",ST,ST,€1.4M,3000,€0,1580,0.021333333333333333
L. Butrón,Peru,43,64,64,"



Alianza Lima",GK,GK,€60K,500,€97K,1038,0.128
E. Borja,Paraguay,25,64,69,"



Nacional Asunción",ST,ST,€875K,500,€1.3M,1481,0.128
A. Tarbell,United States,26,64,66,"



Columbus Crew SC",GK,GK,€550K,2000,€630K,977,0.032
N. Loosli,Switzerland,23,64,70,"



FC Lausanne-Sport",CB,CB,€850K,3000,€908K,1528,0.021333333333333333
S. Wright,Scotland,22,64,72,"



Aberdeen","LM, LW",RM,€1.3M,2000,€1.3M,1538,0.032
E. Güral,Turkey,31,64,64,"



MKE Ankaragücü","RM, LM, CAM",ST,€475K,6000,€800K,1694,0.010666666666666666
